NAME,CITY,STATE,ZIP,LAT,LON
Delta High School,DELTA,CO,81416,38.7278,-108.0489
North Fork High School,HOTCHKISS,CO,81419,38.7893,-107.6995
Cedaredge High School,CEDAREDGE,CO,81413,38.8945,-107.9194
Abraham Lincoln High School,DENVER,CO,80219,39.6761,-105.0265
East High School,DENVER,CO,80206,39.7416,-104.9557
Emily Griffith High School,DENVER,CO,80203,39.74575,-104.985751
George Washington High School,DENVER,CO,80224,39.7057,-104.9149
John F Kennedy High School,DENVER,CO,80227,39.6626,-105.0683
North High School,DENVER,CO,80211,39.7605,-105.0222
South High School,DENVER,CO,80210,39.6922,-104.9662
Thomas Jefferson High School,DENVER,CO,80237,39.6466,-104.9214
Florence Crittenton High School,DENVER,CO,80223,39.715396,-105.016087
DSST: Montview High School,DENVER,CO,80238,39.7479,-104.8908
Highline Academy Southeast,DENVER,CO,80222,39.677063,-104.93091
Colorado High School Charter,DENVER,CO,80204,39.7349,-105.0057
Manual High School,DENVER,CO,80205,39.756508,-104.967138
Denver Justice High School,DENVER,CO,80203,39.73012,-104.983231
KIPP Denver Collegiate High School,DENVER,CO,80223,39.7089,-105.0114
DSST: Green Valley Ranch High School,DENVER,CO,80249,39.785096,-104.780352
Montbello High School,DENVER,CO,80239,39.7872,-104.8279
West High School,DENVER,CO,80204,39.7311,-104.9947
Denver Montessori Junior/Senior High School,DENVER,CO,80211,39.77501,-105.009658
North High School Engagement Center,DENVER,CO,80211,39.760044,-105.022794
Montbello Career and Technical High School,DENVER,CO,80239,39.77577,-104.795793
Highline Academy Northeast,DENVER,CO,80249,39.79574,-104.760961
Girls Athletic Leadership School High School,DENVER,CO,80204,39.72806,-104.995791
DSST: Cole High School,DENVER,CO,80205,39.762606,-104.968967
DSST: College View High School,DENVER,CO,80236,39.660483,-105.027072
Northfield High School,DENVER,CO,80238,39.797236,-104.883207
Legacy Options High School,DENVER,CO,80249,39.820612,-104.769006
DSST: Byers High School,DENVER,CO,80209,39.71382,-104.979811
DSST: Conservatory Green High School,DENVER,CO,80239,39.79796,-104.883429
Delta High School,DENVER,CO,80224,39.705784,-104.913612
Colorado High School Charter - GES,DENVER,CO,80216,39.775425,-104.951209
5280 High School,DENVER,CO,80223,39.69639,-105.001871
DSST: Elevate Northeast High School,DENVER,CO,80239,39.783294,-104.862096
Dove Creek High School,DOVE CREEK,CO,81324,37.767571,-108.903406
Douglas County High School,CASTLE ROCK,CO,80104,39.3897,-104.8569
Ponderosa High School,PARKER,CO,80134,39.436,-104.7552
Highlands Ranch High School,HIGHLANDS RANCH,CO,80130,39.544968,-104.93267
Thunderridge High School,HIGHLANDS RANCH,CO,80129,39.535,-105.0113
Chaparral High School,PARKER,CO,80138,39.5407,-104.8083
Mountain Vista High School,HIGHLANDS RANCH,CO,80126,39.5224,-104.9657
Castle View High School,CASTLE ROCK,CO,80109,39.4129,-104.8936
Rock Canyon High School,HIGHLANDS RANCH,CO,80124,39.51972,-104.921341
Daniel C Oakes High School--Castle Rock,CASTLE ROCK,CO,80104,39.361082,-104.859284
HOPE Online Learning Academy High School,ENGLEWOOD,CO,80112,39.538593,-104.865246
Legend High School,PARKER,CO,80138,39.490917,-104.730763
STEM School Highlands Ranch,HIGHLANDS RANCH,CO,80129,39.5559,-104.9979
Durango High School,DURANGO,CO,81301,37.2888,-107.8731
Durango Big Picture High School,DURANGO,CO,81301,37.276683,-107.87764
Eads High School,EADS,CO,81036,38.483421,-102.783646
Battle Mountain High School,EDWARDS,CO,81620,39.645155,-106.583063
Eagle Valley High School,GYPSUM,CO,81637,39.6432,-106.9477
Red Canyon High School,EDWARDS,CO,81631,39.640686,-106.573527
World Academy High School,EAGLE,CO,81631,39.655374,-106.828206
Battle Mountain Early College High School,EDWARDS,CO,81632,39.646049,-106.588038
Eagle Valley Early College High School,GYPSUM,CO,81637,39.643228,-106.947708
Eaton High School,EATON,CO,80615,40.525142,-104.733867
Edison Junior-Senior High School,YODER,CO,80864,38.619599,-104.165516
Elbert Junior-Senior High School,ELBERT,CO,80106,39.224761,-104.538228
Elizabeth High School,ELIZABETH,CO,80107,39.369284,-104.604598
Ellicott Senior High School,ELLICOTT,CO,80808,38.8265,-104.3863
Englewood High School,ENGLEWOOD,CO,80113,39.647052,-104.981934
Colorado's Finest High School of Choice,ENGLEWOOD,CO,80110,39.627114,-104.991295
Estes Park High School,ESTES PARK,CO,80517,40.3697,-105.4952
South Park High School,FAIRPLAY,CO,80440,39.22451,-105.999346
Falcon High School,PEYTON,CO,80831,38.979738,-104.575919
Sand Creek High School,COLORADO SPRINGS,CO,80922,38.8855,-104.6982
Patriot High School,FALCON,CO,80831,38.933825,-104.605579
Vista Ridge High School,COLORADO SPRINGS,CO,80923,38.931802,-104.703181
Fleming High School,FLEMING,CO,80728,40.684921,-102.841982
Florence Jr./Sr. High School,FLORENCE,CO,81226,38.407391,-105.111192
Centennial High School,FORT COLLINS,CO,80524,40.5784,-105.0735
Fort Collins High School,FORT COLLINS,CO,80525,40.5403,-105.0363
Poudre High School,FORT COLLINS,CO,80521,40.5866,-105.1215
Rocky Mountain High School,FORT COLLINS,CO,80526,40.5473,-105.0996
Wellington Middle-High School,WELLINGTON,CO,80549,40.7086,-105.002
Fossil Ridge High School,FORT COLLINS,CO,80528,40.5146,-105.0156
Timnath Middle-High School,TIMNATH,CO,80535,40.568597,-104.989396
Fort Lupton High School,FORT LUPTON,CO,80621,40.0756,-104.8117
Fort Morgan High School,FORT MORGAN,CO,80701,40.2619,-103.7934
Lincoln High School,FORT MORGAN,CO,80701,40.2496,-103.8089
Fountain-Fort Carson High School,FOUNTAIN,CO,80817,38.6738,-104.683
Fowler Junior High School,FOWLER,CO,81039,38.127589,-104.030107
Fowler High School,FOWLER,CO,81039,38.127589,-104.030107
Valley High School,GILCREST,CO,80623,40.2855,-104.7782
Gilpin County Undivided High School,BLACK HAWK,CO,80403,39.833334,-105.520283
Basalt High School,BASALT,CO,81621,39.3563,-107.0387
Glenwood Springs High School,GLENWOOD SPRINGS,CO,81601,39.538029,-107.326108
Roaring Fork High School,CARBONDALE,CO,81623,39.388071,-107.203967
Granada Undivided High School,GRANADA,CO,81041,38.059709,-102.305506
Middle Park High School,GRANBY,CO,80446,40.0923,-105.9401
Central High School,GRAND JUNCTION,CO,81504,39.0874,-108.4728
Fruita Monument High School,FRUITA,CO,81521,39.148547,-108.717315
Grand Junction High School,GRAND JUNCTION,CO,81501,39.0803,-108.5635
Palisade High School,PALISADE,CO,81526,39.1051,-108.3701
R-5 High School,GRAND JUNCTION,CO,81501,39.071333,-108.541072
Grand Valley High School,PARACHUTE,CO,81635,39.4417,-108.058
Greeley West High School,GREELEY,CO,80634,40.400598,-104.736379
Greeley Central High School,GREELEY,CO,80631,40.414998,-104.703312
Northridge High School,GREELEY,CO,80634,40.4335,-104.7908
Jefferson Junior/Senior High,GREELEY,CO,80631,40.417584,-104.684319
Gunnison High School,GUNNISON,CO,81230,38.548521,-106.937479
Hanover Junior-Senior High School,COLORADO SPRINGS,CO,80928,38.5844,-104.4624
Harrison High School,COLORADO SPRINGS,CO,80906,38.7925,-104.7933
Sierra High School,COLORADO SPRINGS,CO,80916,38.801835,-104.752471
James Irwin Charter High School,COLORADO SPRINGS,CO,80916,38.79728,-104.728431
The Vanguard School (High),COLORADO SPRINGS,CO,80906,38.81127,-104.815873
Atlas Preparatory High School,COLORADO SPRINGS,CO,80916,38.81201,-104.754588
Haxtun Jr/Sr High School,HAXTUN,CO,80731,40.6477,-102.6302
Hayden High School,HAYDEN,CO,81639,40.4931,-107.2624
Holyoke Senior High School,HOLYOKE,CO,80734,40.582,-102.2963
Ignacio High School,IGNACIO,CO,81137,37.12,-107.6365
Alameda International Junior/Senior High School,LAKEWOOD,CO,80232,39.6938,-105.0843
Arvada High School,ARVADA,CO,80004,39.8158,-105.0848
Arvada West High School,ARVADA,CO,80004,39.8104,-105.1274
Bear Creek High School,LAKEWOOD,CO,80227,39.6584,-105.1101
Columbine High School,LITTLETON,CO,80123,39.6038,-105.074
Drake Junior High School,ARVADA,CO,80002,39.79,-105.1411
Evergreen High School,EVERGREEN,CO,80439,39.621819,-105.331754
Golden High School,GOLDEN,CO,80401,39.7432,-105.2122
Green Mountain High School,LAKEWOOD,CO,80228,39.6933,-105.1452
Jefferson Junior/Senior High School,EDGEWATER,CO,80214,39.7504,-105.0731
Lakewood High School,LAKEWOOD,CO,80215,39.7282,-105.1066
Pomona High School,ARVADA,CO,80005,39.8494,-105.0885
Wheat Ridge High School,WHEAT RIDGE,CO,80033,39.7639,-105.104
D'Evelyn Junior/Senior High School,DENVER,CO,80235,39.6435,-105.1145
Longview High School,LAKEWOOD,CO,80228,39.712873,-105.152066
Chatfield High School,LITTLETON,CO,80127,39.5871,-105.1316
